10, 80, 2, Pyr, Bask, NMDA
73, 80, 2, Pyr, Bask, NMDA
50, 80, 2, Pyr, Bask, NMDA
7, 80, 2, Pyr, Bask, NMDA
22, 80, 2, Pyr, Bask, NMDA
43, 80, 2, Pyr, Bask, NMDA
76, 80, 2, Pyr, Bask, NMDA
77, 80, 2, Pyr, Bask, NMDA
12, 80, 2, Pyr, Bask, NMDA
38, 80, 2, Pyr, Bask, NMDA
3, 81, 2, Pyr, Bask, NMDA
9, 81, 2, Pyr, Bask, NMDA
22, 81, 2, Pyr, Bask, NMDA
61, 81, 2, Pyr, Bask, NMDA
71, 81, 2, Pyr, Bask, NMDA
70, 81, 2, Pyr, Bask, NMDA
31, 81, 2, Pyr, Bask, NMDA
40, 81, 2, Pyr, Bask, NMDA
2, 81, 2, Pyr, Bask, NMDA
35, 81, 2, Pyr, Bask, NMDA
64, 82, 2, Pyr, Bask, NMDA
2, 82, 2, Pyr, Bask, NMDA
52, 82, 2, Pyr, Bask, NMDA
48, 82, 2, Pyr, Bask, NMDA
43, 82, 2, Pyr, Bask, NMDA
17, 82, 2, Pyr, Bask, NMDA
64, 82, 2, Pyr, Bask, NMDA
65, 82, 2, Pyr, Bask, NMDA
6, 82, 2, Pyr, Bask, NMDA
19, 82, 2, Pyr, Bask, NMDA
30, 83, 2, Pyr, Bask, NMDA
7, 83, 2, Pyr, Bask, NMDA
79, 83, 2, Pyr, Bask, NMDA
54, 83, 2, Pyr, Bask, NMDA
34, 83, 2, Pyr, Bask, NMDA
73, 83, 2, Pyr, Bask, NMDA
58, 83, 2, Pyr, Bask, NMDA
64, 83, 2, Pyr, Bask, NMDA
32, 83, 2, Pyr, Bask, NMDA
3, 83, 2, Pyr, Bask, NMDA
24, 84, 2, Pyr, Bask, NMDA
6, 84, 2, Pyr, Bask, NMDA
25, 84, 2, Pyr, Bask, NMDA
5, 84, 2, Pyr, Bask, NMDA
50, 84, 2, Pyr, Bask, NMDA
71, 84, 2, Pyr, Bask, NMDA
40, 84, 2, Pyr, Bask, NMDA
61, 84, 2, Pyr, Bask, NMDA
51, 84, 2, Pyr, Bask, NMDA
53, 84, 2, Pyr, Bask, NMDA
22, 85, 2, Pyr, Bask, NMDA
7, 85, 2, Pyr, Bask, NMDA
35, 85, 2, Pyr, Bask, NMDA
42, 85, 2, Pyr, Bask, NMDA
52, 85, 2, Pyr, Bask, NMDA
16, 85, 2, Pyr, Bask, NMDA
15, 85, 2, Pyr, Bask, NMDA
60, 85, 2, Pyr, Bask, NMDA
41, 85, 2, Pyr, Bask, NMDA
36, 85, 2, Pyr, Bask, NMDA
62, 86, 2, Pyr, Bask, NMDA
26, 86, 2, Pyr, Bask, NMDA
45, 86, 2, Pyr, Bask, NMDA
2, 86, 2, Pyr, Bask, NMDA
58, 86, 2, Pyr, Bask, NMDA
39, 86, 2, Pyr, Bask, NMDA
13, 86, 2, Pyr, Bask, NMDA
48, 86, 2, Pyr, Bask, NMDA
35, 86, 2, Pyr, Bask, NMDA
20, 86, 2, Pyr, Bask, NMDA
9, 87, 2, Pyr, Bask, NMDA
45, 87, 2, Pyr, Bask, NMDA
21, 87, 2, Pyr, Bask, NMDA
57, 87, 2, Pyr, Bask, NMDA
25, 87, 2, Pyr, Bask, NMDA
14, 87, 2, Pyr, Bask, NMDA
46, 87, 2, Pyr, Bask, NMDA
54, 87, 2, Pyr, Bask, NMDA
7, 87, 2, Pyr, Bask, NMDA
11, 87, 2, Pyr, Bask, NMDA
41, 88, 2, Pyr, Bask, NMDA
73, 88, 2, Pyr, Bask, NMDA
62, 88, 2, Pyr, Bask, NMDA
52, 88, 2, Pyr, Bask, NMDA
27, 88, 2, Pyr, Bask, NMDA
69, 88, 2, Pyr, Bask, NMDA
76, 88, 2, Pyr, Bask, NMDA
66, 88, 2, Pyr, Bask, NMDA
28, 88, 2, Pyr, Bask, NMDA
34, 88, 2, Pyr, Bask, NMDA
24, 89, 2, Pyr, Bask, NMDA
59, 89, 2, Pyr, Bask, NMDA
69, 89, 2, Pyr, Bask, NMDA
12, 89, 2, Pyr, Bask, NMDA
26, 89, 2, Pyr, Bask, NMDA
16, 89, 2, Pyr, Bask, NMDA
11, 89, 2, Pyr, Bask, NMDA
32, 89, 2, Pyr, Bask, NMDA
57, 89, 2, Pyr, Bask, NMDA
79, 89, 2, Pyr, Bask, NMDA
1, 90, 2, Pyr, Bask, NMDA
79, 90, 2, Pyr, Bask, NMDA
33, 90, 2, Pyr, Bask, NMDA
38, 90, 2, Pyr, Bask, NMDA
28, 90, 2, Pyr, Bask, NMDA
52, 90, 2, Pyr, Bask, NMDA
21, 90, 2, Pyr, Bask, NMDA
72, 90, 2, Pyr, Bask, NMDA
12, 90, 2, Pyr, Bask, NMDA
77, 90, 2, Pyr, Bask, NMDA
57, 91, 2, Pyr, Bask, NMDA
68, 91, 2, Pyr, Bask, NMDA
33, 91, 2, Pyr, Bask, NMDA
71, 91, 2, Pyr, Bask, NMDA
5, 91, 2, Pyr, Bask, NMDA
52, 91, 2, Pyr, Bask, NMDA
49, 91, 2, Pyr, Bask, NMDA
61, 91, 2, Pyr, Bask, NMDA
27, 91, 2, Pyr, Bask, NMDA
18, 91, 2, Pyr, Bask, NMDA
2, 92, 2, Pyr, Bask, NMDA
44, 92, 2, Pyr, Bask, NMDA
45, 92, 2, Pyr, Bask, NMDA
20, 92, 2, Pyr, Bask, NMDA
13, 92, 2, Pyr, Bask, NMDA
70, 92, 2, Pyr, Bask, NMDA
8, 92, 2, Pyr, Bask, NMDA
0, 92, 2, Pyr, Bask, NMDA
23, 92, 2, Pyr, Bask, NMDA
18, 92, 2, Pyr, Bask, NMDA
36, 93, 2, Pyr, Bask, NMDA
63, 93, 2, Pyr, Bask, NMDA
41, 93, 2, Pyr, Bask, NMDA
40, 93, 2, Pyr, Bask, NMDA
22, 93, 2, Pyr, Bask, NMDA
8, 93, 2, Pyr, Bask, NMDA
33, 93, 2, Pyr, Bask, NMDA
70, 93, 2, Pyr, Bask, NMDA
78, 93, 2, Pyr, Bask, NMDA
23, 93, 2, Pyr, Bask, NMDA
24, 94, 2, Pyr, Bask, NMDA
17, 94, 2, Pyr, Bask, NMDA
39, 94, 2, Pyr, Bask, NMDA
12, 94, 2, Pyr, Bask, NMDA
13, 94, 2, Pyr, Bask, NMDA
35, 94, 2, Pyr, Bask, NMDA
76, 94, 2, Pyr, Bask, NMDA
32, 94, 2, Pyr, Bask, NMDA
6, 94, 2, Pyr, Bask, NMDA
60, 94, 2, Pyr, Bask, NMDA
6, 95, 2, Pyr, Bask, NMDA
12, 95, 2, Pyr, Bask, NMDA
33, 95, 2, Pyr, Bask, NMDA
57, 95, 2, Pyr, Bask, NMDA
14, 95, 2, Pyr, Bask, NMDA
17, 95, 2, Pyr, Bask, NMDA
49, 95, 2, Pyr, Bask, NMDA
16, 95, 2, Pyr, Bask, NMDA
35, 95, 2, Pyr, Bask, NMDA
73, 95, 2, Pyr, Bask, NMDA
73, 96, 2, Pyr, Bask, NMDA
62, 96, 2, Pyr, Bask, NMDA
4, 96, 2, Pyr, Bask, NMDA
45, 96, 2, Pyr, Bask, NMDA
47, 96, 2, Pyr, Bask, NMDA
16, 96, 2, Pyr, Bask, NMDA
13, 96, 2, Pyr, Bask, NMDA
0, 96, 2, Pyr, Bask, NMDA
37, 96, 2, Pyr, Bask, NMDA
39, 96, 2, Pyr, Bask, NMDA
77, 97, 2, Pyr, Bask, NMDA
3, 97, 2, Pyr, Bask, NMDA
70, 97, 2, Pyr, Bask, NMDA
6, 97, 2, Pyr, Bask, NMDA
75, 97, 2, Pyr, Bask, NMDA
41, 97, 2, Pyr, Bask, NMDA
1, 97, 2, Pyr, Bask, NMDA
27, 97, 2, Pyr, Bask, NMDA
37, 97, 2, Pyr, Bask, NMDA
55, 97, 2, Pyr, Bask, NMDA
36, 98, 2, Pyr, Bask, NMDA
75, 98, 2, Pyr, Bask, NMDA
22, 98, 2, Pyr, Bask, NMDA
64, 98, 2, Pyr, Bask, NMDA
46, 98, 2, Pyr, Bask, NMDA
17, 98, 2, Pyr, Bask, NMDA
67, 98, 2, Pyr, Bask, NMDA
29, 98, 2, Pyr, Bask, NMDA
54, 98, 2, Pyr, Bask, NMDA
32, 98, 2, Pyr, Bask, NMDA
13, 99, 2, Pyr, Bask, NMDA
17, 99, 2, Pyr, Bask, NMDA
18, 99, 2, Pyr, Bask, NMDA
10, 99, 2, Pyr, Bask, NMDA
39, 99, 2, Pyr, Bask, NMDA
63, 99, 2, Pyr, Bask, NMDA
69, 99, 2, Pyr, Bask, NMDA
7, 99, 2, Pyr, Bask, NMDA
74, 99, 2, Pyr, Bask, NMDA
56, 99, 2, Pyr, Bask, NMDA
80, 81, 10, Bask, Bask, gap
80, 82, 10, Bask, Bask, gap
